Price	Close	High	Low	Open	Volume
Ticker	AAPL	AAPL	AAPL	AAPL	AAPL
Date					
2000-05-15	0.7041310072	0.8169599251	0.6994487296	0.8094696511	2631921600
2000-05-22	0.6470133066	0.7022582581	0.6217319441	0.7022582581	2539454400
2000-05-29	0.6933627725	0.7472024555	0.6020692251	0.6563770158	2843254400
2000-06-05	0.7172396183	0.7378386534	0.6718264795	0.6989803712	1677054400
2000-06-12	0.683062911	0.7223893623	0.6605904389	0.7219212045	1471377600
2000-06-19	0.774356246	0.863309143	0.6727627434	0.6783812849	2058072800
2000-06-26	0.7846564651	0.8314731915	0.7649928389	0.7865290461	1202012000
2000-07-03	0.8155556321	0.8267918699	0.743457577	0.7809114531	909193600
2000-07-10	0.8642454147	0.9082533334	0.8052553513	0.8104057854	1617061600
2000-07-17	0.8024464846	0.8820356823	0.7752925918	0.8726728297	1698088000
2000-07-24	0.7237936854	0.7977651502	0.7022583319	0.787465181	1367128000
2000-07-31	0.7097485065	0.7734199933	0.6629317943	0.7364342411	1057957600
2000-08-07	0.7144307494	0.7350298353	0.6825945803	0.7172396452	1233433600
2000-08-14	0.7490751743	0.78559278	0.6938310581	0.7130257264	875610400
2000-08-21	0.8511366844	0.8614366537	0.7434573652	0.752820169	1293359200
2000-08-28	0.9503896832	0.9531985299	0.8548819971	0.8576908437	1587896800
2000-09-04	0.8820356727	0.9606885543	0.8651816981	0.9386850458	1067029600
2000-09-11	0.827493906	0.9045082997	0.8127465881	0.8792269832	1502429600
2000-09-18	0.781847477	0.9204259004	0.7490750393	0.8277279296	2160625600
2000-09-25	0.3857734203	0.8314732381	0.3801557269	0.7902742024	9529973600
2000-10-02	0.3324018419	0.4007556213	0.314611598	0.3998193308	7414596000
2000-10-09	0.3305292428	0.3427017682	0.2865213931	0.3389566566	4925905600
2000-10-16	0.2921389639	0.3483201907	0.2743487284	0.3342750903	4554149600
2000-10-23	0.2780939341	0.312738974	0.2621762746	0.3036093501	3486067200
2000-10-30	0.3333380222	0.34457428	0.2809027693	0.2865213357	3206952000
2000-11-06	0.2855849564	0.3389564829	0.2855849564	0.3361476131	2016616000
2000-11-13	0.2771576345	0.307120397	0.2734125236	0.2809027704	1808727200
2000-11-20	0.2893301845	0.2921390302	0.2734125254	0.2785620842	1151483200
2000-11-27	0.2556223571	0.2986939452	0.2415763995	0.2977576547	2215371200
2000-12-04	0.2256587446	0.26124006	0.2097410805	0.2574949229	3204504800
2000-12-11	0.2106773108	0.2397037842	0.2097410206	0.2275312607	1840921600
2000-12-18	0.2247223854	0.2284675214	0.2041233124	0.2181684037	1950043200
2000-12-25	0.2228498757	0.2247224316	0.2125499058	0.2228498757	1477795200
2001-01-01	0.2453223616	0.2771576854	0.216295884	0.2228498668	2421137600
